referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,allowMenuUrlEdit,location.city,location.state,location.postalCode,url,location.crossStreet,storeId,venueChains.id
v-1461944107,1,6,7,false,United Kingdom,GB,8791,-1.3051977198357165,50.92296449867992,Lexus Southampton,4d0202e958245481aca148ac,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,Guildford,Surrey,GU1 1TB,http://www.johnsonscars.co.uk/lexus,Slyfield Green,,
v-1461944107,0,11,14,false,United Kingdom,GB,8785,-1.305379,50.92233,Snows Lexus Hedge End,4df8cf18d164d347cc73a883,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/gas_,Gas Station,Gas Stations,Gas Station,4bf58dd8d48988d113951735,true,Binfield,Bracknell Forest,OX2 0HP,,,,
v-1461944107,,5,13,false,United Kingdom,GB,46039,-1.989926,50.715667,Lexus Poole,4ceb8327e1eeb60c88d9b3ae,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,Oxford,Oxfordshire,,,,,
v-1461944107,,23,42,true,United Kingdom,GB,46126,-1.9904780387878418,50.71474877153546,Westover Lexus,4f215e95c2ee2a4f6d290443,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/default_,Lounge,Lounges,Lounge,4bf58dd8d48988d121941735,true,London,Greater London,,,,,
v-1461944107,,14,16,false,United Kingdom,GB,54491,-2.194610118865967,50.84654998779297,Lexus lounge,4e338597c65bdb4c79fede02,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,,,,,,,
v-1461944107,,4,9,false,United Kingdom,GB,64770,-0.9720542770865054,51.436107725136814,Lexus Reading,4e48c20314959d51c1814c90,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,,,,,,,
v-1461944107,,3,3,false,United Kingdom,GB,71001,-0.5611717700958252,51.26028339742002,Lexus Guildford,4cbb0b66558576b045b9490e,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,,,,,,,
v-1461944107,,6,8,false,United Kingdom,GB,70331,-0.785693948445162,51.415792281970226,Lexus Bracknell,4b84e682f964a520154731e3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,,,,,,,
v-1461944107,,28,77,false,United Kingdom,GB,74780,-1.806753,51.559008,Lexus Swindon,518b572d498ee99b77c376bb,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,,,,,,,
v-1461944107,,3,5,true,United Kingdom,GB,92161,-1.289246678352356,51.75322390790679,Lexus Oxford,4e731dedcc3f93bd770d44e0,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,,,,,,,
v-1461944107,,4,5,false,United Kingdom,GB,95999,-0.33720890036576956,51.45410472144704,Lexus Twickenham,4f97d329e4b012474d161404,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,,,,,,,
v-1461944107,,31,46,false,United Kingdom,GB,97367,-2.5562706277133915,51.44650126486623,Lexus Bristol,4f461274e4b0f37b08415440,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,true,,,,,,,
v-1461944107,,2,5,false,United Kingdom,GB,103406,-0.117939,51.360589,Lexus Croydon,529082a011d2556bc622c396,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,true,,,,,,,
v-1461944107,,,,false,United Kingdom,GB,109982,-0.2502096039036422,51.5865509830737,Lexus,4e886b87be7b88449a911433,,,,,,,,,,,,,,,
v-1461944107,,,,false,United Kingdom,GB,108269,-0.146313,51.476908,Battersea Lexus,51714f03498e94001e8a7899,,,,,,,,,,,,,,,
