referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,location.mayNotNeedAddress,allowMenuUrlEdit,venueChains.id,url,location.city,location.state,location.postalCode,location.crossStreet,storeId,location.neighborhood,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,menu.externalUrl,hasMenu
v-1460742714,,2,13,false,United Kingdom,GB,76668,-4.920982,56.891977,Costa Coffee,50dee77ee4b00e6168e9611e,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,,http://www.costa.co.uk,,,,,,,,,,,,,
v-1460742714,,22,25,false,United Kingdom,GB,61037,-3.310417436108879,57.710267687114666,RAF Lossie Costa Coffee,55b781bb498edc93f13b8f6c,true,.png,https://ss3.4sqi.net/img/categories_v2/food/cafe_,Café,Cafés,Café,4bf58dd8d48988d16d941735,false,true,,,,,,,,,,,,,,,
v-1460742714,,2,2,false,United Kingdom,GB,90192,-5.113506872724657,56.816762228773044,Costa Coffee,5598f91c498ef8cc27f620b5,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,,,,,,,,,,,,,,,
v-1460742714,,,,false,United Kingdom,GB,122626,-2.8882831335067745,56.644644039111206,Costa Coffee,56a40976498ea4930b6332c2,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,,,,,,,,,,,,,,,
v-1460742714,1,101,257,false,United Kingdom,GB,4179,-1.5435770316489736,53.8025174776656,Costa Coffee,52a30d3711d24d2c29c97c3c,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Leeds,Leeds,LS2 8LX,Merrion Centre,,,,,,,,,
v-1460742714,8,350,869,false,United Kingdom,GB,4288,-1.5449094772338867,53.801588604973794,Costa Coffee,4b750e48f964a52074fc2de3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Leeds,Leeds,LS2 8LX,Albion St,,,,,,,,,
v-1460742714,7,253,403,false,United Kingdom,GB,4843,-1.544369130352799,53.79656636491921,Costa Coffee,514b8014e4b0d9e1920e4180,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Leeds,Leeds,LS1 5AY,Albion St.,,,,,,,,,
v-1460742714,9,352,637,false,United Kingdom,GB,4697,-1.5430013423335236,53.797835564226624,Costa Coffee,4befce83d4f70f479231390f,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Leeds,Leeds,LS1 6JF,Holden Ing Way,,,,,,,,,
v-1460742714,2,128,326,false,United Kingdom,GB,4579,-1.5454162634852326,53.79898596502047,Costa Coffee,4b5ef32bf964a5204c9f29e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Leeds,Leeds,LS1 5JS,Jct 46, A1(M),,,,,,,,,
v-1460742714,5,193,490,false,United Kingdom,GB,3229,-1.577823,53.821471,Costa Coffee,4b4efa95f964a52000f826e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Headingley,Leeds,LS6 2UE,adj Lendal,,,,,,,,,
