referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,allowMenuUrlEdit,venueChains.id,location.city,location.postalCode,url,location.state,storeId,location.crossStreet,location.neighborhood,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,menu.externalUrl,hasMenu,venuePage.id
v-1461925477,,36,385,false,Ireland,IE,123985,-6.382728886371947,54.0018766770669,Starbucks @GF,4f07185ae4b06fab180c436d,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,,,,,,,,,,,,,,,,
v-1461925477,,20,79,false,Ireland,IE,125685,-6.392240524291992,53.981657565696366,Starbucks,4d7f95d934468eec2025db93,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,,,,,,,,,,,,,,,,
v-1461925477,,,,false,Ireland,IE,123516,-6.399113,54.001538,Starbucks Coffee,544bdeaa498eac061c33e21c,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,,,,,,,,,,,,,,,,
v-1461925477,21,599,1829,true,United Kingdom,GB,1258,-4.137320816516876,50.37238762354949,Starbucks,4ba4b10cf964a520aeac38e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Plymouth,PL1 1EA,http://starbucks.co.uk,Devon,12657,Off the A30,,,,,,,,,
v-1461925477,21,403,1420,true,United Kingdom,GB,1619,-4.142618179321289,50.371881253599874,Starbucks,4b5b1b7cf964a520b5e328e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Plymouth,PH1 1HX,http://starbucks.co.uk,Devon,12788,Fore Street,,,,,,,,,
v-1461925477,8,3,3,false,United Kingdom,GB,29914,-3.7579017,50.5079451,Starbucks,4e401b911495bf24a5fc90d0,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,West Thurrock,EX4 3LF,http://starbucks.co.uk,Devon,12692,Stocker Rd & Queen's Dr,,,,,,,,,
v-1461925477,7,562,1664,true,United Kingdom,GB,57589,-3.5278987884521484,50.725087037062075,Starbucks,4b533692f964a520889227e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Exeter,TR4 8HS,http://starbucks.co.uk,Cornwall,12946,Sandy Bay,,,,,,,,,
v-1461925477,13,355,1224,true,United Kingdom,GB,74934,-5.164604187011719,50.278562333188255,Starbucks,4b90c8b7f964a520509733e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Cornwall,P L25,http://starbucks.co.uk,Cornwall,12875,Taunton Railway Station,,,,,,,,,
v-1461925477,1,11,141,false,United Kingdom,GB,47991,-4.793858528137207,50.33827084687152,Starbucks,4e424ae43151fbb8104201d0,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,St Austell,TR1 2SD,http://starbucks.co.uk,Cornwall,32380,Old Market Centre,,,,,,,,,
v-1461925477,3,361,1242,true,United Kingdom,GB,67376,-5.053037326149614,50.26330988426295,Starbucks,4bd5853fcfa7b71346dd25da,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Cornwall,EX8 5BT,http://starbucks.co.uk,Devon,12134,,,,,,,,,,
