referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,location.city,location.state,allowMenuUrlEdit,location.postalCode,url,location.crossStreet,storeId,venuePage.id,venueChains.id,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,hasMenu
v-1461943867,1,71,196,true,Canada,CA,100850,-79.44703102111816,43.908421011962936,Lexus of Richmond Hill,4bbcc139a8cf76b096e6b0fd,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,Richmond Hill,ON,true,L4E 3N7,http://www.lexusrh.com,at Gamble Rd.,,42815897,,,,,,,
v-1461943867,2,128,244,false,Canada,CA,106240,-79.3491326362128,43.71855197142065,Lexus On The Park,4b994644f964a5206a6f35e3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,Toronto,ON,true,M3C 2J7,http://www.lexusonthepark.ca,at Eglinton Ave. E,,,,,,,,,
v-1461943867,6,34,109,false,Canada,CA,95024,-79.24154390237265,43.782683479227025,Lexus Canada,4c488b801ddec92897eea032,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Office,Offices,Office,4bf58dd8d48988d124941735,Toronto,ON,true,L3R 1G9,http://www.dvnlexus.com,btwn Woodbine& Victoria Park Ave.,,,,,,,,,
v-1461943867,0,182,1165,false,Canada,CA,99422,-79.34577735130179,43.81511130003153,Don Valley North Lexus,4bd1be6f9854d13ab312fa4d,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,Markham,ON,true,L4N 9E8,,,,,,,,,,,
v-1461943867,,58,120,false,Canada,CA,110916,-79.35701982865113,43.66146083090424,Lexus Downtown,4f073822e4b0aa2dc50f8015,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,Toronto,ON,true,,,,,,,,,,,,
v-1461943867,,4,12,false,Canada,CA,109907,-79.71025228500366,44.32955831484278,Lexus of Barrie,4f16fd01d5fb04999ed0c939,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,Barrie,ON,,,,,,,,,,,,,
v-1461943866,0,1,4,false,Canada,CA,63677,-76.58591811479293,44.236802653167615,Lexus Of Kingston,519bc606498e208a0c5a3a4f,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,Kingston,ON,true,K7M 4Y3,,Vista Drive,,,,,,,,,
v-1461943866,2,85,315,false,Canada,CA,63384,-63.61555864612374,44.66197514060343,O'Regan's Toyota,4c05275c0d0e0f475ae2049a,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,Halifax,NS,true,,,,,,,,,,,,
v-1461943867,1,86,186,true,Canada,CA,12446,-113.6160720463522,53.5603130467858,Lexus of Edmonton,4b912e29f964a52080a833e3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,Edmonton,AB,true,T5S 2X1,http://www.lexusofedmonton.ca,,,52316158,,,,,,,
v-1461943867,0,26,39,false,Canada,CA,19679,-113.49013392883475,53.42574547678911,Lexus South Pointe,51489981e4b03c1c5770121c,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,Edmonton,AB,true,T6X 0S8,,,,,,,,,,,
v-1461943867,1,71,196,true,Canada,CA,25464,-79.44703102111816,43.908421011962936,Lexus of Richmond Hill,4bbcc139a8cf76b096e6b0fd,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,Richmond Hill,ON,true,L4E 3N7,http://www.lexusrh.com,at Gamble Rd.,,42815897,568c4f8e498ec8e3dff565dd,,,,,,
v-1461943867,2,128,244,false,Canada,CA,7795,-79.3491326362128,43.71855197142065,Lexus On The Park,4b994644f964a5206a6f35e3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,Toronto,ON,true,M3C 2J7,http://www.lexusonthepark.ca,at Eglinton Ave. E,,92127826,,,,,,,
v-1461943867,1,58,120,false,Canada,CA,6228,-79.35701982865113,43.66146083090424,Lexus Downtown,4f073822e4b0aa2dc50f8015,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,Toronto,ON,true,M6N 1K8,http://www.kenshawlexus.com,Runnymede Rd,,91440561,,,,,,,
