referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,allowMenuUrlEdit,location.city,location.state,location.postalCode,url,location.crossStreet,venuePage.id,storeId,menu.externalUrl,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type
v-1461333071,0,1,1,false,United Kingdom,GB,49130,-1.508052,53.361324,Hello, Dan.,4e7a7392775b50c568d2d0d9,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/arcade_,Arcade,Arcades,Arcade,4bf58dd8d48988d1e1931735,true,Lancashire,,WA9 5NX,,,,,,,,,,
v-1461333071,,2,2,false,United Kingdom,GB,56077,-1.499535867092926,52.41624695083813,Hello Chicken,53b1c3c8498e36e52867068c,true,.png,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,Fast Food,Fast Food Restaurants,Fast Food Restaurant,4bf58dd8d48988d16e941735,true,St. Helens,,,,,,,,,,,,
v-1461333071,,1,1,false,United Kingdom,GB,56910,-1.5099242,52.4087964,Hello chicken,50b274b8e4b0df437195fb5e,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/hookahbar_,Hookah Bar,Hookah Bars,Hookah Bar,4bf58dd8d48988d119941735,true,,,,,,,,,,,,,
v-1461333071,,23,76,false,United Kingdom,GB,42868,-2.1294589,52.9870053,Happy Helloween,5093a19ae4b0f17ed46cdcb8,true,.png,https://ss3.4sqi.net/img/categories_v2/building/office_coworkingspace_,Coworking Space,Coworking Spaces,Coworking Space,4bf58dd8d48988d174941735,true,,,,,,,,,,,,,
v-1461333071,,1,4,false,United Kingdom,GB,80026,-2.254349141072041,53.47913107085305,Hello Hub,54666099498e9e9b9005c9bb,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/default_,Shop,Miscellaneous Shops,Miscellaneous Shop,4bf58dd8d48988d1ff941735,true,,,,,,,,,,,,,
v-1461333071,,2,3,false,United Kingdom,GB,73607,-1.8874911162939334,52.30204730080983,hello there Computers,51028a8be4b0a25f8662aa83,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Driving School,Driving Schools,Driving School,52e81612bcbc57f1066b7a42,,,,,,,,,,,,,,
v-1461333071,,24,38,false,United Kingdom,GB,73638,-2.265694141387939,53.396253001331004,Hello Driving School,50dbcc44e0e26b861db9d08b,true,.png,https://ss3.4sqi.net/img/categories_v2/travel/hotel_,Hotel,Hotels,Hotel,4bf58dd8d48988d1fa931735,,,,,,,,,,,,,,
v-1461333071,,10,24,false,United Kingdom,GB,86153,-2.345713562269029,53.50523732434143,Hello Hotel,505dce78e4b012e2dc47e37e,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/default_,Shop,Miscellaneous Shops,Miscellaneous Shop,4bf58dd8d48988d1ff941735,,,,,,,,,,,,,,
v-1461333071,,2,2,true,United Kingdom,GB,101730,-2.7591776847839355,53.43542519998858,Hello Baby,4e306766091a876241054721,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Building,Buildings,Building,4bf58dd8d48988d130941735,,,,,,,,,,,,,,
v-1461333071,,,,false,United Kingdom,GB,90497,-1.933522,53.690585,Claude Hellowell Ltd,4c907e600b9e37041a19685e,,,,,,,,,,,,,,,,,,,,,
v-1461333071,0,2,7,false,United Kingdom,GB,183,-2.250667,51.8684,hell on earth,5423bf59498e74a6c8bff457,true,.png,https://ss3.4sqi.net/img/categories_v2/building/apartment_,Residential,Residential Buildings (Apartments / Condos),Residential Building (Apartment / Condo),4d954b06a243a5684965b473,true,Bristol,Bristol,BS7 0BE,http://www.hellodelibristol.co.uk,,136946909,,,,,,,
v-1461333071,,5,13,true,United Kingdom,GB,47333,-2.5742537999999513,51.4953195,Hello Deli,55ca18be498e8bf31b8a3214,true,.png,https://ss3.4sqi.net/img/categories_v2/food/deli_,Deli / Bodega,Delis / Bodegas,Deli / Bodega,4bf58dd8d48988d146941735,true,Bath and North East Somerset,Bath and North East Somerset,CF6 4 1,,,,,,,,,,
v-1461333071,,1,1,false,United Kingdom,GB,51913,-2.5927090644836426,51.45491614198447,Hello Cocoa,5580d347498e50a8151b4089,true,.png,https://ss3.4sqi.net/img/categories_v2/food/cafe_,Café,Cafés,Café,4bf58dd8d48988d16d941735,true,Penarth,Cardiff,CF10 1de,,,,,,,,,,
v-1461333071,,1,4,false,United Kingdom,GB,53223,-2.609557641990882,51.44709996089366,Hello Blue,4ffac46de4b0fe7c228db601,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/design_,Design,Design Studios,Design Studio,4bf58dd8d48988d1f4941735,true,Butetown,Dorset,BH8 8UH,,,,,,,,,,
v-1461333071,,2,2,false,United Kingdom,GB,52109,-2.594975,51.453661,Hello Charlie,4d4159ddc1d4721e24aa18c7,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Building,Buildings,Building,4bf58dd8d48988d130941735,true,Bournemouth,,,,,,,,,,,,
v-1461333071,,1,5,false,United Kingdom,GB,54110,-1.8874911162939334,52.30204730080983,hello there Computers,51028a8be4b0a25f8662aa83,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/default_,Shop,Miscellaneous Shops,Miscellaneous Shop,4bf58dd8d48988d1ff941735,true,,,,,,,,,,,,,
